p0x,p0y,p1x,p1y,p2x,p2y,p3x,p3y,p4x,p4y,l0x,l0y,l1x,l1y,l2x,l2y,l3x,l3y,l4x,l4y,iteration,execution_time,gps0_lon,gps0_lat,gps0_alt,gps1_lon,gps1_lat,gps1_alt,gps2_lon,gps2_lat,gps2_alt,gps3_lon,gps3_lat,gps3_alt,gps4_lon,gps4_lat,gps4_alt
0,0,2,2,40215,114344,23432,128193,22549,80887,0.0,0.0,9.0,-1.0,40218.0,114350.0,23429.0,128198.0,22555.0,80888.0,49,5.225152015686035,142,-36,30000,2,2,2,143,-36,81,143,-36,82,143,-36,79
0,0,2,2,40215,114344,23432,128193,22549,80887,0.0,0.0,9.0,-6.0,40218.0,114347.0,23429.0,128196.0,22545.0,80890.0,49,5.264634132385254,142,-36,30000,2,2,2,143,-36,81,143,-36,82,143,-36,79
0,0,2,2,40215,114344,23432,128193,22549,80887,0.0,0.0,8.0,-3.0,40215.0,114346.0,23433.0,128197.0,22534.0,80890.0,49,5.049633741378784,142,-36,30000,2,2,2,143,-36,81,143,-36,82,143,-36,79
