p0x,p0y,p1x,p1y,p2x,p2y,p3x,p3y,p4x,p4y,l0x,l0y,l1x,l1y,l2x,l2y,l3x,l3y,l4x,l4y,iteration,execution_time,gps1_lon,gps1_lat,gps1_alt
6141657,97372,2,2,6102309,-16967,6106779,-31007,6107212,16292,6141657.0,97372.0,4.0,-4.0,6102313.0,-16967.0,6106783.0,-31003.0,6107213.0,16294.0,49,6.391215085983276,142.1962,-36.7189,30000.0
6141657,97372,2,2,6102309,-16967,6106779,-31007,6107212,16292,6141657.0,97372.0,0.0,0.0,6102309.0,-16976.0,6106773.0,-31006.0,6107213.0,16294.0,49,5.524868726730347,142.1962,-36.7189,30000.0
6141657,97372,2,2,6102309,-16967,6106779,-31007,6107212,16292,6141657.0,97372.0,-3.0,2.0,6102313.0,-16967.0,6106772.0,-31017.0,6107214.0,16293.0,49,6.7442755699157715,142.1962,-36.7189,30000.0
6141657,97372,2,2,6102309,-16967,6106779,-31007,6107212,16292,6141657.0,97372.0,0.0,0.0,6102308.0,-16963.0,6106779.0,-30998.0,6107215.0,16295.0,49,6.0601890087127686,142.1962,-36.7189,30000.0
6141657,97372,2,2,6102309,-16967,6106779,-31007,6107212,16292,6141657.0,97372.0,-4.0,-5.0,6102317.0,-16961.0,6106776.0,-31005.0,6107210.0,16295.0,49,6.285619258880615,142.1962,-36.7189,30000.0
6141657,97372,2,2,6102309,-16967,6106779,-31007,6107212,16292,6141657.0,97372.0,0.0,0.0,6102317.0,-16969.0,6106771.0,-31010.0,6107217.0,16292.0,49,5.8079915046691895,142.1962,-36.7189,30000.0
